municipality,region,years_of_commission,denounce_to_church,year_first_denounce,year_last_denounce,title,number_of_affected,legal_status,press_article,,,,,,,,,,,
arica,arica,2004 - 2013,,2015,2019,secular,6,convicted,https://resumen.cl/articulos/condenan-a-asesor-de-pastoral-juvenil-por-abusos-sexuales-y-produccion-de-pornografia-infantil,,,,,,,,,,,
arica,arica,1989-1990,1991,2019,,priest,4,processed,https://www.theclinic.cl/2019/01/15/julio-barahona-abusador-que-los-jesuitas-no-denunciaron-a-tiempo/,,,,,,,,,,,
arica,arica,1991-1992,,2018,,presbyter,1,researched,https://www.theclinic.cl/2019/01/16/el-puzle-maldito-de-la-diocesis-de-arica/,,,,,,,,,,,
arica,arica,1985-1990,,1991,,priest,,researched in Germany,http://www.bishop-accountability.org/news2010/01_02/2010_02_03_Horst_GermanJesuit.htm,,,,,,,,,,,
iquique,tarapaca,1980's,,2008,,secular,9,convicted,http://www.revistanos.cl/2012/11/las-caras-del-cura-audin-araya/,,,,,,,,,,,
iquique,tarapaca,1990-1991,,2019,2019,priest,2,,,,,,,,,,,,,
iquique,tarapaca,,,2018,,bishop,,accused,https://www.soychile.cl/Santiago/Sociedad/2018/09/13/556136/Ex-obispo-castrense-declaro-como-imputado-en-caso-del-sacerdote-Pedro-Quiroz.aspx,,,,,,,,,,,
iquique,tarapaca,2010,,2018,,priest,1,denounced,http://edicioncero.cl/2018/09/se-enfrentan-posiciones-entre-denunciante-de-abuso-a-manos-de-ex-capellan-y-ex-seminaristas-y-laicos-contra-iglesia-figura-de-emblematico-sacerdote-luza-en-entredicho/,,,,,,,,,,,
iquique,tarapaca,1997,,2009,,bishop,2,,https://www.theclinic.cl/2012/10/06/obispo-de-iquique-investigado-por-posible-abuso-reconozco-haber-tenido-un-acto-imprudente-con-el/,,,,,,,,,,,
calama,antofagasta,2003,,2018,,priest,1,denounced,https://www.elmostrador.cl/noticias/pais/2018/10/24/diocesis-de-calama-entrega-antecedentes-a-fiscalia-por-caso-de-abuso-sexual-contra-sacerdote-jordi-jorba-navarro/,,,,,,,,,,,
mejillones,antofagasta,2009,,2009,,priest,1,convicted,https://www.latercera.com/noticia/declaran-culpable-de-abuso-sexual-a-sacerdote-en-antofagasta/,,,,,,,,,,,
antofagasta,antofagasta,,,2019,2019,priest,1,,,,,,,,,,,,,
copiapo,atacama,,,2004,,priest,,,http://www.bishop-accountability.org/Chile/Banco-de-Datos/,,,,,,,,,,,
copiapo,atacama,1980-90,,2004,,priest,2,,http://www.bishop-accountability.org/Chile/Banco-de-Datos/,,,,,,,,,,,
copiapo,atacama,,,2012,,priest,2,,https://www.emol.com/noticias/nacional/2014/07/27/671970/sacerdote-expulsado-tras-acusaciones-de-abuso-sexual-los-curas-no-somos-santos.html,,,,,,,,,,,
vallenar,atacama,,,2011,,priest,1,,http://www.iglesia.cl/detalle_noticia.php?id=21171,,,,,,,,,,,
paihuano,coquimbo,,,2018,,presbyter,,,http://www.diariolaregion.cl/proceso-administrativo-penal-contra-religioso-investigado-por-abusos/?fbclid=IwAR0YQkZe29TIAiW13qYR4p0qYLYWuqlifDoUFYDh3OTg6xw9TaWGRojyYfU,,,,,,,,,,,
vicuña,coquimbo,1970-2016,,2018,,nun,3,,https://www.radioagricultura.cl/nacional/2019/05/17/denuncian-abusos-en-tres-hogares-de-menores-de-la-region-de-coquimbo.html,,,,,,,,,,,
la serena,coquimbo,2000,,2019,2020,priest,2,,https://drive.google.com/drive/folders/1wQrp0Q5b25MRWKOxn6AGZN4pBbGC6Bdz?usp=sharing,,,,,,,,,,,
la serena,coquimbo,1998-2003,,2015,2018,priest,,denounced,https://laicismo.org/chile-obispo-castrense-detalla-a-fiscalia-cinco-casos-de-sacerdotes-de-las-ff-aa-denunciados-por-abusos/,,,,,,,,,,,
la serena,coquimbo,1960-1970,,2018,2019,bishop,1,,https://www.theclinic.cl/2019/08/21/victima-de-monsenor-cox-habla-por-investigacion-a-bernardino-pinera-ya-quedo-sindicado-como-encubridor-y-ahora-como-abusador/,,,,,,,,,,,
la serena,coquimbo,1988,,2018,2018,bishop,2,,https://www.theclinic.cl/2018/10/08/denunciante-del-obispo-cox-me-daria-por-satisfecho-con-que-le-quiten-el-estado-clerical-y-que-muera-como-civil/,,,,,,,,,,,
la serena,coquimbo,2003,,2004,2004,priest,1,convicted,https://carlosagaton.blogspot.com/2011/01/sacerdote-chileno-rene-pena-benitez.html,,,,,,,,,,,
la serena,coquimbo,2000s,,2008,2018,priest,6,convicted,https://www.colegiosscc.cl/index.php/rss/item/530-comunicado-publico,,,,,,,,,,,
coquimbo,coquimbo,,,2017,2019,priest,4,,https://cetra.cl/?p=5285,,,,,,,,,,,
coquimbo,coquimbo,,,2018,,priest,6,denounced,,,,,,,,,,,,
coquimbo,coquimbo,1970-2016,,2018,,nun,3,,https://www.radioagricultura.cl/nacional/2019/05/17/denuncian-abusos-en-tres-hogares-de-menores-de-la-region-de-coquimbo.html,,,,,,,,noun,3,,https://www.radioagricultura.cl/nacional/2019/05/17/denuncian-abusos-en-tres-hogares-de-menores-de-la-region-de-coquimbo.html
coquimbo,coquimbo,1970-2016,,2018,,nun,3,,https://www.radioagricultura.cl/nacional/2019/05/17/denuncian-abusos-en-tres-hogares-de-menores-de-la-region-de-coquimbo.html,,,,,,,,noun,3,,https://www.radioagricultura.cl/nacional/2019/05/17/denuncian-abusos-en-tres-hogares-de-menores-de-la-region-de-coquimbo.html
ovalle,coquimbo,1990,,2011,,priest,2,,http://www.elobservatodo.cl/noticia/sociedad/arzobispo-de-la-serena-confirma-caso-de-sacerdote-condenado-por-abuso-sexual,,,,,,,,,,,
illapel,coquimbo,,,2019,,priest,1,denounced,https://www.theclinic.cl/2019/05/10/suspenden-a-sacerdote-de-illapel-tras-ser-denunciando-ante-la-fiscalia-por-abusos-sexuales-a-un-menor/,,,,,,,,,,,
salamanca,coquimbo,2010-2014,,2014,,priest,,,https://www.facebook.com/SobrevivientesdeAbusoEclesiasticoChile/photos/a.161323021090677/380668689156108/?type=3&theater,,,,,,,,,,,
los vilos,coquimbo,2018,,2018,2018,priest,1,convicted,https://eluniversal.cl/noticia/4953/tribunal-de-ovalle-condena-a-sacerdote-a-818-dias-de-libertad-vigilada-intensiva,,,,,,,,,,,
putaendo,valparaiso,2004,,2010,,priest,3,convicted,https://www.theclinic.cl/2010/10/04/escandalo-por-abusos-sexuales-del-%E2%80%9Ccura-pancho%E2%80%9D-esta-la-zorra-en-putaendo/,,,,,,,,,,,
san felipe,valparaiso,1990s,,2010,,priest,3,,http://www.eltrabajo.cl/portal/expulsan-de-estado-clerical-a-cura-rene-benavides-por-abusos-a-menores/?fbclid=IwAR2aeZEiy8O-ojU1xfP9kwUOUYM3GYrAQcsczIUbi1zORjHlKhtmU-nJhX0,,,,,,,,,,,
los andes,valparaiso,1990s,,2012,,priest,4,denounced,http://soyaconcagua.cl/2012/03/03/diocesis-de-aconcagua-ordena-investigacion-sobre-sacerdote-del-instituto-chacabuco/,,,,,,,,,,,
quillota,valparaiso,2010,,2020,2020,presbyter,4,,https://www.aciprensa.com/noticias/inician-investigacion-a-sacerdote-en-chile-por-presunto-abuso-sexual-contra-una-menor-56876,,,,,,,,,,,
concon,valparaiso,1960-1967,,2019,,secular,1,dead,,,,,,,,,,,,
limache,valparaiso,1980-90s,1992,2003,2018,priest,4,,https://www.bbc.com/mundo/noticias-america-latina-44455810,,,,,,,,,,,
quilpue,valparaiso,1990s,,2012,,priest,1,,,,,,,,,,,,,
quilpue,valparaiso,1990-1992,,2003,2011,priest,4,investigated,http://www.bishop-accountability.org/Chile/Banco-de-Datos/,,,,,,,,,,,
quilpue,valparaiso,1992-1995,,2012,,priest,1,dismissed,https://www.elmostrador.cl/noticias/pais/2012/01/30/ex-seminarista-denuncia-que-sufrio-abusos-sexuales/,,,,,,,,,,,
quilpue,valparaiso,1993,,2012,,priest,2,dismissed,https://www.elmostrador.cl/noticias/pais/2018/06/07/mauricio-pulgar-ex-seminarista-en-la-iglesia-hay-redes-de-sexo-poder-y-drogas/,,,,,,,,,,,
quilpue,valparaiso,,,2012,2012,priest,70,dismissed,https://www.elmostrador.cl/noticias/pais/2018/08/07/abusos-iglesia-expulsa-a-sacerdote-sindicado-por-sus-victimas-como-el-karadima-de-la-region-de-valparaiso/,,,,,,,,,,,
vina del mar,valparaiso,1980s,,2020,2020,priest,1,investigated,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2020/08/05/abren-investigacion-denuncia-abuso-sexual-sacerdote-parroquia-vina-del-mar.shtml,,,,,,,,,,,
valparaiso,valparaiso,2010,,2020,,priest,1,investigated,https://www.aciprensa.com/noticias/josefinos-de-murialdo-investigan-a-sacerdote-por-presunto-abuso-sexual-16638,,,,,,,,,,,
valparaiso,valparaiso,1980-1990,1992,2013,2018,priest,4,,https://www.bbc.com/mundo/noticias-america-latina-44455810,,,,,,,,,,,
valparaiso,valparaiso,,,2008,2010,bishop,4,dismissed,https://www.emol.com/noticias/Nacional/2018/06/11/909368/El-caso-de-Gonzalo-Duarte-el-saliente-obispo-de-Valparaiso-presuntamente-vinculado-en-causas-por-abuso-sexual.html,,,,,,,,,,,
valparaiso,valparaiso,1968-1974,,2019,,presbyter,1,,http://www.iglesia.cl/detalle_noticia.php?id=38592,,,,,,,,,,,
valparaiso,valparaiso,1990,,2012,,priest,1,dead,https://www.aciprensa.com/noticias/sacerdotes-jesuitas-fallecidos-son-acusados-de-abuso-sexual-49917?fbclid=IwAR3zHLGS-PK-TYGget_37IHTSMm9aW-tfaynzaZuwrvmCZqDUkKrshrUJ98,,,,,,,,,,,
valparaiso,valparaiso,2002,,2006,,priest,5,convicted,http://www.bishop-accountability.org/Chile/news/2002_12_24_emol_Sacerdote_acusado.htm,,,,,,,,,,,
valparaiso,valparaiso,1990-2000,1992,2019,,bishop,,,https://m.elmostrador.cl/noticias/pais/2019/06/14/denunciantes-de-abusos-sexuales-acusan-de-encubrimiento-a-obispo-de-valparaiso/,,,,,,,,,,,
valparaiso,valparaiso,1999,,2011,,priest,2,convicted,https://www.ahoranoticias.cl/noticias/nacional/225965-compania-de-jesus-confirma-sancion-a-dos-sacerdotes-por-abuso-sexual.html,,,,,,,,,,,
valparaiso,valparaiso,,,2017,2017,bishop,4,investigated,https://www.latercera.com/nacional/noticia/critican-al-obispo-castrense-santiago-silva-nombramiento-comision-del-consejo-episcopal-latinoamericano/663634/,,,,,,,,,,,
batuco,metropolitana,,,2019,2019,secular,,,https://www.google.com/maps/d/viewer?mid=14SMI9ihfw0IKbaZHUCwzyrbpfuqfCUCW&ll=-33.26544728582341%2C-70.67620246387789&z=12#:~:text=http%3A//www.iglesia.cl/38795-comunicado-hogar-san-ricardo-obra-don-guanella.html,,,,,,,,,,,
batuco,metropolitana,,,2019,2019,secular,,denounced,https://www.google.com/maps/d/viewer?mid=14SMI9ihfw0IKbaZHUCwzyrbpfuqfCUCW&ll=-33.26544728582341%2C-70.67620246387789&z=12#:~:text=http%3A//www.iglesia.cl/38795-comunicado-hogar-san-ricardo-obra-don-guanella.html,,,,,,,,,,,
santiago,metropolitana,1998,,2010,,priest,10,convicted,https://www.chvnoticias.cl/reportajes/archivos-clasificados-la-historia-de-los-abusos-del-cura-tato_20180419/,,,,,,,,,,,
renca,metropolitana,1995-2003,,2010,2018,priest,3,investigated,https://m.elmostrador.cl/noticias/pais/2019/01/31/golpe-al-circulo-de-hierro-de-karadima-vaticano-abre-investigacion-contra-el-sacerdote-diego-ossa/amp/,,,,,,,,,,,
renca,metropolitana,1990-2009,,2009,,priest,10,convicted,http://www.bishop-accountability.org/Chile/Banco-de-Datos/,,,,,,,,,,,
renca,metropolitana,,,2019,2019,priest,,,http://www.iglesia.cl/38795-comunicado-hogar-san-ricardo-obra-don-guanella.html,,,,,,,,,,,
lo barnechea,metropolitana,1990s,,2010,2019,priest,6,,https://www.aciprensa.com/amp/noticias/sacerdote-cercano-a-karadima-es-suspendido-e-investigado-por-abusos-96384,,,,,,,,,,,
las condes,metropolitana,1998,,2018,,priest,5,,https://www.eldesconcierto.cl/2019/02/02/abuso-sexual-a-menores-en-el-opus-dei-realizan-primera-denuncia-contra-sacerdote-astorquiza-en-chile/,,,,,,,,,,,
las condes,metropolitana,2007,,2012,,priest,1,convicted,https://www.elmostrador.cl/noticias/pais/2018/10/22/el-final-de-la-caida-del-cura-favorito-de-la-elite-john-oreilly/,,,,,,,,,,,
vitacura,metropolitana,1994-2001,,2010,,priest,,denounced,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/mineduc-revoca-premio-nacional-de-educacion-a-hugo-montes/2019-08-26/134826.html,,,,,,,,,,,
vitacura,metropolitana,1970-2010,,2010,2011,nun superior,5,dead,https://www.elmostrador.cl/noticias/pais/2011/03/14/iglesia-remueve-a-superiora-de-las-ursulinas-e-inicia-investigacion-en-colegio-de-la-orden-en-vitacura/,,,,,,,,,,,
las condes,metropolitana,1989,,2015,,priest,1,,https://www.24horas.cl/nacional/exclusivo-habla-la-victima-de-sacerdote-removido-julio-dutilh-1701326,,,,,,,,,,,
las condes,metropolitana,1980-1990,,2018,,priest,1,,,,,,,,,,,,,
providencia,metropolitana,1998-2003,,2015,,priest,,,,,,,,,,,,,,
providencia,metropolitana,1970-2000s,,2009,2018,priest,8,convicted,https://ciperchile.cl/especiales/karadima/,,,,,,,,,,,
providencia,metropolitana,2016,,2018,,priest,1,denounced,https://elpais.com/sociedad/2019/01/14/actualidad/1547491587_839008.html,,,,,,,,,,,
providencia,metropolitana,1970-1980s,2003,2017,,priest,4,dead,,,,,,,,,,,,
providencia,metropolitana,1970-1990s,2003,2015,,priest,4,dead,https://www.latercera.com/nacional/noticia/caso-maristas-suma-mas-30-denuncias-fiscal-accede-fichas-religiosos/141269/,,,,,,,,,,,
providencia,metropolitana,1970-1990s,2003,2015,,priest,4,dead,,,,,,,,,,,,
providencia,metropolitana,1970-1990s,2003,2017,2017,priest,6,denounced,https://www.notimerica.com/sociedad/noticia-escandalo-hermanos-maristas-chile-estalla-poco-antes-visita-papa-francisco-20180111112744.html,,,,,,,,,,,
providencia,metropolitana,1970s,2003,2015,2019,priest,2,investigated,https://elpais.com/sociedad/2019/01/14/actualidad/1547491587_839008.html,,,,,,,,,,,
providencia,metropolitana,1993-1998,,2010,219,priest,4,,https://www.latercera.com/la-tercera-pm/noticia/la-caida-de-eugenio-valenzuela-el-ex-provincial-que-era-visto-como-el-papa-de-los-jesuitas/514749/,,,,,,,,,,,
providencia,metropolitana,1980-1990s,,2005,,priest,3,convicted,http://cosas.com/hablan-ex-alumnos-del-sacerdote/,,,,,,,,,,,
